miner_id,blocks_mined,avg_transactions,avg_volume,avg_fee,fee_volatility,avg_block_size,difficulty,efficiency,profitability,last_block_id,last_block_time,age,label
35,8109,1115.921445307683,10138.04563174067,17981161.149312682,44583935.21475231,637426.9258848194,7820612235672.455,0.11007263982061725,17978943.990108084,810835,2023-10-06 03:26:41+00:00,33.0,1
36,8109,1112.9742261684548,11008.031461744267,20081626.591350015,166536107.9020111,636392.2182759896,7821375739949.324,0.10110565454288759,20079150.435173523,810836,2023-10-06 03:51:20+00:00,1479.0,0
37,8109,1110.41928721174,10296.125728179895,18453594.39300664,68647331.67931253,637729.1559995067,7821375739949.324,0.10784826414585046,18451318.980627727,810837,2023-10-06 03:59:59+00:00,519.0,1
38,8109,1099.9847083487482,10149.454974628416,17542988.91266926,46834139.91032666,632398.6125292884,7821375739949.324,0.10837869728949771,17540825.782100495,810838,2023-10-06 04:17:23+00:00,1044.0,1
39,8109,1104.2176593908002,10763.413254875428,18561118.761094205,59845956.590695575,634085.0147983722,7821375739949.324,0.10258991578628907,18558830.09047015,810839,2023-10-06 04:17:46+00:00,23.0,0
40,8109,1103.9991367616228,10470.955332151063,18304439.62536457,53637209.75908399,633223.6216549512,7821658233395.68,0.10543442329198832,18302182.60444899,810840,2023-10-06 04:28:34+00:00,648.0,0
41,8109,1102.8830928597854,10365.171654468339,18726836.305736735,85022029.30046254,633700.4387717351,7821658233395.68,0.10640278131662541,18724527.201383375,810841,2023-10-06 04:39:41+00:00,667.0,0
42,8109,1113.2571217166112,10423.044241310616,18169151.46928062,45971407.3429865,635703.2079171292,7821658233395.68,0.10680729122344405,18166911.130011905,810842,2023-10-06 04:41:38+00:00,117.0,0
43,8109,1110.076951535331,9868.449261618662,17807669.074249405,50481716.8435929,634776.7577999753,7821658233395.68,0.11248747620891546,17805473.30740918,810843,2023-10-06 04:59:00+00:00,1042.0,1
44,8109,1103.3666296707363,10089.380824426215,18098547.46728746,53705493.125746995,636902.2890615365,7821687802105.601,0.10935920140900972,18096315.833814304,810844,2023-10-06 04:59:59+00:00,59.0,1
45,8109,1112.222838821063,10827.323096613429,19639759.147938512,161041589.22534025,638486.6817116784,7821687802105.601,0.1027237137837737,19637337.47603371,810845,2023-10-06 05:12:20+00:00,741.0,0
46,8109,1110.9295844123812,10832.48002459941,19013556.919450905,74641961.37430938,636648.3411024787,7821687802105.601,0.10255542423244499,19011212.46113778,810846,2023-10-06 05:13:02+00:00,42.0,0
47,8109,1121.2431865828091,11079.567524038943,20042486.7251255,91894258.73730977,641939.0929831052,7821687802105.601,0.10119918346541835,20040015.39507308,810847,2023-10-06 05:16:37+00:00,215.0,0
48,8109,1109.0056727093354,11179.628867581278,20238960.035459895,125422371.00559083,635688.0368726107,7821692820008.258,0.09919879146660532,20236464.479351945,810848,2023-10-06 05:34:09+00:00,1052.0,0
49,8109,1107.2616845480331,10447.86204964003,18313570.837028295,56520822.60977523,634487.7679121963,7821692820008.258,0.1059797381786905,18311312.690192655,810849,2023-10-06 05:36:22+00:00,133.0,0
50,8109,1116.3068195831793,10122.987005663219,17790233.10101071,47669886.21295589,641856.3660130718,7821692820008.258,0.11027444952350138,17788039.48410553,810850,2023-10-06 05:38:56+00:00,154.0,1
51,8109,1112.0082624244667,9959.81486426702,17890255.304940976,45170564.46558128,637091.9454926625,7821692820008.258,0.11164949123842893,17888049.354841724,810851,2023-10-06 05:44:12+00:00,316.0,1
52,8109,1127.2874583795783,11050.941653806954,19220819.334787633,66546419.80745396,641596.0467381921,7821927310339.327,0.10200827166535038,19218449.32007311,810852,2023-10-06 05:46:39+00:00,147.0,0
53,8109,1116.5485263287705,10918.484588666588,19031267.612622783,69250951.73584324,637092.9363669996,7821927310339.327,0.10226222487758495,19028920.970500387,810853,2023-10-06 05:52:59+00:00,380.0,0
54,8109,1109.2248119373535,10319.850516289098,18155697.129289385,45656461.095318645,636203.0953261808,7821927310339.327,0.10748458131117491,18153458.449002173,810854,2023-10-06 06:11:11+00:00,1092.0,1
55,8109,1113.8665680108522,10412.513615411439,18535736.668178506,72674555.49472451,634999.3740288569,7821927310339.327,0.10697384024181485,18533451.12728231,810855,2023-10-06 06:26:06+00:00,895.0,0
56,8109,1108.8181033419658,10357.533960977677,18175062.19002649,56327331.64946691,638011.7496608706,7821606185986.362,0.10705425707696103,18172821.12193894,810856,2023-10-06 06:33:08+00:00,422.0,0
57,8109,1100.5045011715379,10142.58120606006,17425756.214252427,42696081.101385795,634824.3757553336,7821606185986.362,0.10850339561628476,17423607.539010227,810857,2023-10-06 06:35:07+00:00,119.0,1
58,8109,1103.8544826735726,10655.187021883512,18416381.65425554,52411177.12387288,636387.2657541004,7821606185986.362,0.10359785148832998,18414110.830377083,810858,2023-10-06 06:47:11+00:00,724.0,0
59,8109,1107.5294117647059,10421.42084762223,18441929.75730945,56141781.496345386,637615.4475274386,7821606185986.362,0.106274319784072,18439655.783233333,810859,2023-10-06 07:11:16+00:00,1445.0,0
60,8109,1106.427672955975,10036.04148824187,18258779.678688888,54102731.38450789,635930.5121469971,7821743541007.68,0.1102454263717567,18256528.287853044,810860,2023-10-06 07:26:50+00:00,934.0,1
61,8109,1117.5017881366382,10388.789829099835,18586006.515813112,52788095.147054486,636646.8205697373,7821743541007.68,0.10756804271911617,18583714.77641535,810861,2023-10-06 07:32:50+00:00,360.0,1
62,8109,1113.7517573066962,10810.185755047369,19234038.177668456,81114996.87284471,635992.0378591688,7821743541007.68,0.10302799438821603,19231666.533010297,810862,2023-10-06 07:41:52+00:00,542.0,0
63,8109,1116.9284745344678,10495.544597343276,18547573.672521953,55017859.70038904,642866.5565421137,7821743541007.68,0.10641929670015295,18545286.672069114,810863,2023-10-06 07:46:47+00:00,295.0,0
64,8109,1118.0361326920706,10484.221811685607,19903107.900667634,105690400.41213828,639318.4132445431,7822178173574.585,0.10663987778719182,19900653.756660156,810864,2023-10-06 07:51:20+00:00,273.0,0
65,8109,1110.3985694906894,10268.076436927051,18289235.275616847,75693304.49950983,640620.6043901837,7822178173574.585,0.10814085542811683,18286980.12946696,810865,2023-10-06 08:01:13+00:00,593.0,1
66,8109,1110.5836724626959,10256.139359640465,18510622.149198927,53279129.685250394,638761.5384141078,7822178173574.585,0.10828476812950791,18508339.705037497,810866,2023-10-06 08:04:34+00:00,201.0,1
67,8109,1116.9443827845603,10103.860681800983,17929676.34764187,45343090.380526856,640452.5652978172,7822178173574.585,0.11054629690176584,17927465.536748204,810867,2023-10-06 08:17:29+00:00,775.0,1
68,8109,1118.192625477864,10760.263870756733,19165965.686133027,111528856.28919806,639412.8722407202,7822642408130.198,0.10391869929107245,19163602.43512364,810868,2023-10-06 08:19:10+00:00,101.0,0
69,8109,1109.489086200518,10564.352008822001,18256195.37473479,51383555.7437195,635105.057467012,7822642408130.198,0.10502197250469399,18253944.302555412,810869,2023-10-06 08:37:32+00:00,1102.0,0
70,8109,1116.3048464668886,10520.627397910881,18354757.603043057,47347500.309767656,639386.9295844124,7822642408130.198,0.1061062999615832,18352494.37769126,810870,2023-10-06 08:43:04+00:00,332.0,0
71,8109,1111.978295720804,9942.03640648932,17817504.323053036,46899156.40975782,638115.6439758294,7822642408130.198,0.11184612993318821,17815307.343481757,810871,2023-10-06 08:44:46+00:00,102.0,1
72,8109,1114.8262424466643,10331.83889525667,18045266.196431246,46812458.51315402,638933.9630040695,7822551277920.393,0.10790201567683864,18043041.13278187,810872,2023-10-06 08:50:25+00:00,339.0,1
73,8109,1114.0908866691332,10551.290352323724,19064839.3885529,83074588.81355985,638724.8780367493,7822551277920.393,0.10558811761100574,19062488.60687737,810873,2023-10-06 08:53:04+00:00,159.0,0
74,8109,1118.9963004069552,10066.38529985741,17852980.088392876,42578899.918224946,639184.6951535331,7822551277920.393,0.11116167989543324,17850778.734497882,810874,2023-10-06 09:10:10+00:00,1026.0,1
75,8109,1115.69256381798,10736.98155154627,19199552.760971557,80460406.21544605,640209.0463682328,7822551277920.393,0.10391119314694186,19197185.368522607,810875,2023-10-06 09:11:27+00:00,77.0,0
76,8109,1111.8950548772968,10336.254002854595,18469598.036810603,49557998.152436644,640595.9637439882,7823422609322.415,0.10757234241439052,18467320.651109394,810876,2023-10-06 09:17:19+00:00,352.0,1
77,8109,1119.8559625107905,9977.84562652648,18161125.736201867,50101127.98683646,640469.8911086447,7823422609322.415,0.11223424418729218,18158886.386542656,810877,2023-10-06 09:28:09+00:00,650.0,1
78,8109,1118.7766678998644,10280.36249449497,18584383.164562482,47368111.33225215,639587.969663337,7823422609322.415,0.10882657771054757,18582091.62533134,810878,2023-10-06 09:30:38+00:00,149.0,1
79,8109,1124.292021211,10082.871179531263,17421671.17132244,41744567.568306,643213.8124306326,7823422609322.415,0.11150514582525442,17419522.999784667,810879,2023-10-06 09:37:24+00:00,406.0,1
80,8109,1120.2535454433346,9907.652904218801,17901743.834570654,48637417.92328307,636271.1522999137,7823454435208.889,0.11306951871176307,17899536.46788328,810880,2023-10-06 10:05:29+00:00,1685.0,1
81,8109,1112.6749290911332,10063.884926014845,17871510.840144332,48127855.72839606,631406.5884819337,7823454435208.889,0.11056117366910573,17869307.201323103,810881,2023-10-06 10:07:33+00:00,124.0,1
82,8109,1117.3714391416945,10817.065744629854,20065957.70897327,174132010.66247535,633336.132445431,7823454435208.889,0.10329709234653692,20063483.48484146,810882,2023-10-06 10:10:48+00:00,195.0,0
83,8109,1113.9154026390431,10256.972589795094,18047801.29947825,45892534.005113974,637150.8269823652,7823454435208.889,0.10860079744652876,18045575.923239104,810883,2023-10-06 10:22:19+00:00,691.0,1
84,8109,1115.96115427303,9750.966704004548,17345670.974322468,40712681.7809411,637289.8657047725,7823947789864.406,0.11444620704269354,17343532.17395572,810884,2023-10-06 10:37:00+00:00,881.0,1
85,8109,1114.9950672092737,9726.869508221744,17408390.179592885,40055778.088479206,637739.7272166729,7823947789864.406,0.1146304128236425,17406243.645661984,810885,2023-10-06 10:43:52+00:00,412.0,1
86,8109,1118.6865211493403,10251.363739898556,18268648.134665847,51505972.24711064,638966.0524109015,7823947789864.406,0.10912562948042474,18266395.527004357,810886,2023-10-06 10:46:26+00:00,154.0,1
87,8109,1126.7389320508078,10451.75153969292,18564564.51148769,43836281.831721716,638306.6951535331,7823947789864.406,0.10780383821521693,18562275.415986888,810887,2023-10-06 10:56:29+00:00,603.0,1
88,8109,1116.7078554692316,10412.068801531119,18006330.33063,46575307.73015503,633583.7039092367,7823996042510.113,0.10725129431577611,18004110.067950513,810888,2023-10-06 10:59:31+00:00,182.0,1
89,8109,1127.2472561351585,10287.447939041931,18014189.591323595,42704094.45663155,639689.0103588605,7823996042510.113,0.10957501440731755,18011968.35956141,810889,2023-10-06 11:09:37+00:00,606.0,1
